SCHOOLCODE,SCHOOLNAME,LON,LAT,LEVELTEXT,LEVEL,CLUSTER,WARD,FORTYFORTY,YEAR,ATRISKENROLLMENT,ECEENROLLMENT,ELLENROLLMENT,SPEDENROLLMENT,TOTALENROLLMENT,AMT_ENROLLMENT,AMT_SPED,AMT_ELL,AMT_ASPECR,AMT_TITLE,AMT_SPECIALTY,AMT_PPFM,AMT_STABILIZATION,AMT_ATRISK_ENROLLMENT,AMT_ATRISK_SPED,AMT_ATRISK_ELL,AMT_ATRISK_SPECIALTY,AMT_ATRISK_ASPECR,AMT_ATRISK_STABILIZATION,AMT_ATRISK_FLEX,AMT_ATRISK,AMT_TOTAL
315,Simon ES,-77.000194997,38.835980202,Elementary,es,4,8,TRUE,2016,0.77,52,4,27,307,2596716.69579953,279120,16923.0978575565,0,127099.425667582,0,0,0,350295.227906977,46520,0,0,0,0,0,396815.227906977,3416674.44723164
322,Smothers ES,-76.938468639,38.893553701,Elementary,es,5,7,TRUE,2016,0.74,71,6,39,286,2654084.80618615,559679.624473,25387.172119282,0,119215.150970973,0,0,0,273465,139560,0,0,0,0,0,413025,3771391.7537494
427,Sousa MS,-76.953158845,38.883894076,Middle,ms,7,7,FALSE,2016,0.74,0,0,60,260,2273985.4603044,745759.624473,0,0,123157.288319278,15000,0,7112.9759139968,362126,0,0,0,0,0,0,362126,3527141.34901068
319,Stanton ES,-76.968490227,38.859271774,Elementary,es,2,8,TRUE,2016,0.87,85,0,70,539,4409847.37430275,744320,0,0,250694.729247782,0,0,26591.0143622933,322186.427906977,0,0,500000,0,0,0,822186.427906977,5753639.5458198
321,Stoddert ES,-77.079073796,38.923044313,Elementary,es,5,3,FALSE,2016,0.04,20,75,14,420,3684123.60127439,186080,325640,0,10450,0,0,0,2000,46520,0,0,0,0,0,48520,4254813.60127439
428,Stuart-Hobson MS,-77.00000438,38.89629737,Middle,ms,7,6,FALSE,2016,0.34,0,3,65,427,3338611.05263504,721779.8122365,12696.7427258251,0,98134.2353156116,0,0,0,278725,0,0,0,0,0,0,278725,4449946.84291298
324,Takoma EC,-77.022794928,38.975042541,Education Campus,campus,6,4,FALSE,2016,0.43,76,120,76,478,3746577.7137716,1029198.497892,604760,117060.9965,191950.684284141,0,0,0,383575.5,0,0,0,0,0,0,383575.5,6073123.39244774
325,Thomas ES,-76.952110911,38.901278637,Elementary,es,1,7,TRUE,2016,0.72,97,6,54,424,3529559.06250977,886759.248946,25383.384119861,0,177058.165412769,0,0,0,342276,46520,0,0,0,0,128401.127906977,517197.127906977,5135956.98889538
326,Thomson ES,-77.028430033,38.903496003,Elementary,es,1,2,FALSE,2016,0.46,64,147,47,273,2569442.51090482,372160,697800,110359.256,117901.105188205,0,0,0,160196.127906977,0,46520,0,0,0,0,206716.127906977,4074379
327,Truesdell EC,-77.025071576,38.953968357,Education Campus,campus,6,4,FALSE,2016,0.55,105,250,85,570,4512340.09862954,930400,1256040,48373.605,228330.950940725,0,0,0,588270,0,0,0,0,0,0,588270,7563754.65457026
328,Tubman ES,-77.029443298,38.929198235,Elementary,es,4,1,FALSE,2016,0.61,76,173,80,501,4075815.51391651,955819.4367095,744320,0,216066.523634889,0,0,0,331117.127906977,93040,93040,0,0,0,0,517197.127906977,6509218.60216788
329,Turner ES,-76.980309925,38.847634942,Elementary,es,1,8,TRUE,2016,0.85,92,0,45,421,3611015.23729493,792279.624473,0,0,170049.921238006,0,0,0,578875.327906977,46520,0,0,0,0,0,625395.327906977,5198740.11091292
330,Tyler ES,-76.992041663,38.881084023,Elementary,es,3,6,TRUE,2016,0.46,138,11,90,538,4398502.80567266,1192738.3101285,46569.2439924725,46497.9585,226578.889897034,0,0,0,275727,93040,0,0,0,0,39906.3279069767,408673.327906977,6319560.53609765
332,Walker-Jones EC,-77.01391586,38.904191757,Education Campus,campus,5,6,TRUE,2016,0.75,85,11,113,484,3742162.83843775,1399918.873419,46577.240880139,110359.256,201612.02002444,0,0,0,539649.3,139560,0,0,0,0,0,679209.3,6179839.52876133
474,Washington Metropolitan HS,-77.015584665,38.920429783,High,hs,8,1,TRUE,2016,NA,0,1,46,251,2286761.07042598,857493.5422365,0,40460,106049.693143292,0,0,275896.668410866,0,0,0,0,0,0,0,0,3566660.97421664
333,Watkins ES,-76.989996769,38.883466674,Elementary,es,2,6,FALSE,2016,0.2,0,4,31,482,3576124.69568313,418680,16928.1485234511,59270.218,89320.8385316215,0,0,250376.699261796,105040,93040,0,0,0,0,0,198080,4608780.6
336,West EC,-77.032253056,38.95136708,Education Campus,campus,6,4,FALSE,2016,0.42,62,28,32,278,2855262.88295759,465200,139560,59270.218,115711.028883592,0,0,0,174400,46520,0,0,0,0,0,220920,3855924.12984118
335,Wheatley EC,-76.988500771,38.90411741,Education Campus,campus,5,5,TRUE,2016,0.79,69,7,66,458,3664428.71482945,837360,29640.4641357846,0,200735.989502595,0,0,0,627419.727906977,0,0,0,0,0,0,627419.727906977,5359584.89637481
338,Whittier EC,-77.019238602,38.965856939,Education Campus,campus,6,4,FALSE,2016,0.61,54,42,76,349,3281187.7105939,1350992.227892,186080,72042.4775,152066.295540176,0,0,0,404320,0,0,0,0,0,0,404320,5446688.71152607
463,Wilson HS,-77.077775201,38.950155808,High,hs,8,3,FALSE,2016,0.31,0,112,236,1878,11285193.5055167,2631979.0611825,558240,0,44700,0,0,0,1016152.2,0,0,0,72828,0,0,1088980.2,15609092.7666992
464,"Woodson, H.D. HS",-76.922322143,38.896782823,High,hs,9,7,TRUE,2016,0.78,0,6,160,582,4594566.20136751,2552819.687892,25393.4854516503,72828,277413.660164067,0,0,0,667608.3,0,0,180000,0,0,0,847608.3,8190629.33487523
861,Youth Services Center,-76.988585838,38.91213926,Alternative,other,8,5,FALSE,2016,NA,0,1,32,73,990637.9244,604760,0,8092,1900,0,0,60423.8187281251,0,0,0,0,0,0,0,0,1665813.74312813
304,River Terrace Special Education Center,-76.95752,38.89495,Special Education Center,other,6,7,FALSE,2016,0.45,0,11,110,108,1217610.51164152,2269896.4324935,46531.7848870874,33725.699,46892.6329187285,0,0,0,10621,0,0,0,0,0,81062.9,91683.9,3706340.96094083
331,Van Ness ES,-76.99914,38.87675,Elementary,es,3,6,FALSE,2016,0.25,70,0,6,110,1557988.53490109,186080,0,0,2750,0,0,0,9265,0,0,0,0,0,43125.8,52390.8,1799209.33490109
9,Brookland MS,-76.99182,38.93741,Middle,ms,7,5,FALSE,2016,0.45,0,0,55,224,1952679.35184861,745759.624473,0,0,97289.3879248385,400000,0,0,198705,0,0,0,0,0,0,198705,3394433.36424644
105,Dorothy Height ES,-77.03087,38.94452,Elementary,es,1,4,FALSE,2016,0.44,155,177,60,590,4198053.68533919,602353.354473,744320,0,116764.769447906,0,0,0,79235,139560,93040,0,0,0,181918,493753,6155244.8092601
220,Burroughs ES,-76.97845637,38.933502326,Elementary,es,6,5,FALSE,2016,0.54,63,14,45,250,2433512.98200238,888198.873419,93040,59270.218,128851.486711273,0,0,0,79125,0,0,100000,0,0,19985.1279069767,199110.127906977,3801983.68803963
262,Langdon ES,-76.977081855,38.924703828,Elementary,es,6,5,FALSE,2016,0.56,58,18,27,261,2507173.51129031,466639.624473,93040,0,147686.142930949,0,0,0,99736.5,0,0,0,0,0,119955.727906977,219692.227906977,3434231.50660124
346,Bunker Hill ES,-76.984995636,38.942012134,Elementary,es,6,5,FALSE,2016,0.48,34,13,14,150,1722813.31200522,210060,46633.6399826288,33725.699,67066.3349211725,0,0,143114.81,34719.2,0,0,100000,0,0,0,134719.2,2358132.99590902
290,Noyes ES,-76.991842884,38.925177646,Elementary,es,6,5,TRUE,2016,0.65,43,12,65,214,2124834.42275617,886759.248946,50857.6802258251,0,125347.364623891,0,0,0,186391,0,0,0,0,0,20203.5279069767,206594.527906977,3394393.24445886
458,McKinley Technology HS,-77.00488219,38.915210095,High,hs,8,5,FALSE,2016,0.37,0,11,12,646,4305880.43056834,442659.8122365,25408.6374493341,0,151180.990321722,1680585.039,0,0,447192.9,0,0,0,0,0,0,447192.9,7052907.8095759
435,McKinley MS,-77.004122439,38.915219785,Middle,ms,8,5,FALSE,2016,0.59,0,11,46,250,1977645.16908342,695393.354473,21160.1856543138,0,65350.2280947136,0,0,0,275051.7,0,0,0,0,0,0,275051.7,3034600.63730545
