SCHOOLNAME,SCHOOLCODE,LEVEL,TYPE,WARD,LAT,LON,ENROLLMENT,ATRISKPERCENT,ATRISKCOUNT,DEANOFSTUDENTS,ISSCOORDINATOR,GUIDANCECOUNSELOR,ATTENDCOUNSELOR,PSYCH,SOCIALWORKER,INTERVENTIONCOACH,ENGLISHTEACHER,MATHTEACHER,READINGTEACHER,RESOURCETEACHER,SCIENCETEACHER,SOCIALSTUDIESTEACHER,ARTTEACHER,HEALTHTEACHER,MUSICTEACHER,LANGUAGETEACHER,SPEDTEACHER,SPEDAIDE,BEHAVIORTECH,ASSTPRINCIPALINTERVENTION,READINGSPECIALIST,ASSTPRINCIPALLITERACY,PWPSTUDENTSATISFACTION,EXTENDEDDAY,MIDDLEGRADEACTIVITIES,ECR,OTHER,STABLIZATION,NEWHEIGHTS,READINGPARTNERS,ATRISKTOTAL
Leckie ES ,266,es,Regular school,8,38.82819678,-77.01289191,374,0.527,197,,,,,,,,,,,,,,,,,,94600,,,,,,40200,,,,,,,,134800
Ludlow-Taylor ES ,271,es,Regular school,6,38.89874414,-76.99649249,299,0.371,111,,,,,,,,,,,,,,,,,,,,,,,,33600,,,,,,,,33600
Key ES ,272,es,Regular school,3,38.92680184,-77.10052732,381,0.029,11,,,,,,,,,,,,,,,,,,,,,,,,39100,,,,,,,,39100
Mann ES ,273,es,Regular school,3,38.93429231,-77.08782619,287,0.007,2,,,,,,,,,,,,,,,,,,,,,,,,30100,,,,,,,,30100
Maury ES ,274,es,Regular school,6,38.89218519,-76.9886575,339,0.198,67,,,,,,,,,,,,,,,,,,,,,,,,36200,,,,,,,,36200
Miner ES ,280,es,Regular school,6,38.89737602,-76.98290432,426,0.721,307,,,,,,,,,,,,,,,,,,,30900,,,,,40800,,,,,502200,,,573800
Marie Reed ES ,284,es,Regular school,1,38.91911214,-77.04082224,377,0.355,134,,,,,,,,,,,,,,,,,,,,,,,,39000,,,,,,,,39000
Moten ES ,285,es,Regular school,8,38.856656,-76.98294368,362,0.798,289,,,,,,,,,,,,,,,,,,189300,30900,,,,,40000,100000,,,,,,29200,389300
Murch ES ,287,es,Regular school,3,38.95293352,-77.07007921,626,0.037,23,,,,,,,,,,,,,,,,,,,,,,189300,,68000,,,,,,,,257300
Nalle ES ,288,es,Regular school,7,38.88595442,-76.93079651,369,0.721,266,,,,,,,,,,,,,,,,,,,,,,,,38000,100000,,,,,,29200,167200
Noyes EC ,290,campus,Regular school,5,38.92517798,-76.99184288,305,0.557,170,,46000,,,47300,189300,,,,,,,94600,47300,,,47300,94600,30900,,,94600,,30700,100000,28000,,,,,29200,879900
Orr ES ,291,es,Regular school,8,38.87179716,-76.97448402,355,0.721,256,,,,,,,,,,,,,,,,,,,92600,,,,,37200,100000,,,,36100,,29200,295100
Oyster-Adams Bilingual ,292,campus,Regular school,3,38.92359583,-77.05720337,661,0.067,44,89400,,189300,,,,,,,,,94600,189300,,,,,,,,,,,65700,100000,28000,,,,,,756200
Patterson ES ,294,es,Regular school,8,38.82696636,-77.00848471,356,0.775,276,,,,,,,,,,,,,,,,,,189300,30900,,,,,37400,100000,,,,,,29200,386700
Payne ES ,295,es,Regular school,6,38.88517068,-76.98498373,258,0.547,141,,,,,,,,,,,,,,,,,,189300,30900,,,,,27900,,,,,,,,248000
Bruce-Monroe ES @ Park View ,296,es,Regular school,1,38.9344141,-77.02118567,465,0.542,252,,,,,,,,,,,,,,,,,,,,,,,,47000,,,,,,,,47000
Plummer ES ,299,es,Regular school,7,38.8872402,-76.93993468,416,0.772,321,,,,,,,,,,,,,,,,,,,,39000,,,,43400,,,,,,,,82400
Powell ES ,300,es,Regular school,4,38.94153434,-77.03122742,406,0.446,181,,,,,,,,,,,,,,,,,,,,,,,,43500,,,,,,,,43500
Peabody ES ,301,es,Regular school,6,38.89289632,-76.99985799,228,0.07,16,,,,,,,,,,,,,,,,,,,,,,,,22900,,,,,,,,22900
Raymond EC ,302,campus,Regular school,4,38.93581121,-77.02643266,543,0.455,247,,,94600,,94600,,94600,,,,,,,94600,189300,94600,,,,,,,,55300,100000,28000,,,,,,845700
Ross ES ,305,es,Regular school,2,38.91239115,-77.03966214,161,0.075,12,,,,,,,,,,,,,,,,,,,,,,94600,,16800,,,,,,,,111400
Savoy ES ,307,es,Regular school,8,38.86285199,-76.99360426,408,0.73,298,,,,,,,,,,,,,,,,,,,,,,,,41900,100000,,,,,,29200,171100
Malcolm X ES ,308,es,Regular school,8,38.8416454,-76.98339857,225,0.76,171,,,,,,,,,,,,,,,,,,,,,,,,21800,100000,,,,,,29200,151000
Seaton ES ,309,es,Regular school,6,38.9106187,-77.02488247,253,0.514,130,,,,,,,,,,,,,,,,,,94600,,,,,118700,27800,,,,,,,,241100
Sharpe Health School ,312,campus,Special Education School,4,38.94347466,-77.03046833,67,0.507,34,,,,,,,,,,,,,,,,,,,30900,,,,,10000,,,,,,,,40900
Shepherd ES ,313,es,Regular school,4,38.98460328,-77.03399523,304,0.151,46,,,,,,,,,,,,,,,,,,,,,,,,32100,,,,,,,,32100
Simon ES ,315,es,Regular school,8,38.83598054,-77.000195,296,0.76,225,,,,,,,,,,,,,,,,,,,,,,,,31000,100000,,,,,,29200,160200
Randle Highlands ES ,316,es,Regular school,7,38.87009174,-76.96435628,335,0.648,217,,,,,,,,,,,,,,,,,,,,,,,,32800,,,,,72700,,,105500
Stanton ES ,319,es,Regular school,8,38.85927211,-76.96849023,585,0.831,486,,,,,,,,,,,,,,,,,,,,,,,,60700,100000,,,500000,,,29200,689900
Stoddert ES ,321,es,Regular school,3,38.92304465,-77.0790738,381,0.037,14,,,,,,,,,,,,,,,,,,,,,,,,42900,,,,,,,,42900
Smothers ES ,322,es,Regular school,7,38.89355404,-76.93846864,290,0.71,206,,,,,,,,,,,,,,,,,,,,,,,,30400,100000,,,,,,29200,159600
Takoma EC ,324,campus,Vocational Shared Time,4,38.97504287,-77.02279493,442,0.466,206,,,94600,,,,,,,,,,,,,,47300,,,,,,,45800,100000,,,,,,,287700
Thomas ES ,325,es,Regular school,7,38.90127897,-76.95211091,414,0.744,308,,,,,,,,,,,,,,,,,,94600,30900,39000,,,,43500,100000,,,,,,29200,337200
Thomson ES ,326,es,Regular school,2,38.90349634,-77.02843003,289,0.415,120,,,,,,,,,,,,,,,,,,,,,,,,28000,,,,,,,,28000
Truesdell EC ,327,campus,Regular school,4,38.95396869,-77.02507158,480,0.531,255,,,94600,,,,,,,,,,,,94600,,,,,,,,,48400,100000,28000,,,,,,365700
Tubman ES ,328,es,Regular school,1,38.92919857,-77.0294433,509,0.631,321,,,,,,,,,,,,,,,,,,94600,,,,,,52700,,,,,,,,147300
Turner ES ,329,es,Regular school,8,38.84763644,-76.98031323,403,0.779,314,,,,,,,,,,,,,,,,,,,30900,39000,,,,42600,100000,,,,,,29200,241700
Tyler ES ,330,es,Regular school,6,38.88108436,-76.99204166,507,0.402,204,,,,,,,,,,,,,,,,,,,,,,94600,,54900,100000,,,,,,29200,278800
Walker-Jones EC ,332,campus,Regular school,6,38.90419198,-77.01391569,454,0.718,326,,,,,,,,,,,,,,,,47300,,94600,30900,,,94600,,46100,100000,28000,,,,,29200,470800
Watkins ES ,333,es,Regular school,6,38.88346701,-76.98999677,545,0.215,117,,,,,,,,,,,,,,,,,,,,,,94600,,52300,,,,,,,,146900
Wheatley EC ,335,campus,Regular school,5,38.90411774,-76.98850077,442,0.781,345,,,,,,,,94600,94600,,,,,47300,,,47300,,,,,94600,,43500,100000,28000,,,,,29200,579200
West EC ,336,campus,Regular school,4,38.95136741,-77.03225306,258,0.341,88,,,,,,94600,,,,,,,,,,,,,,,,,,27300,100000,18000,,,,,,239900
